1.49954359789 {' ': 13, '^': 15, 'a': 21, 'c': 22, 'b': 7, 'e': 12, 'd': 24, 'g': 19, 'f': 23, 'i': 4, 'h': 6, 'k': 5, 'j': 10, 'm': 14, 'l': 2, 'o': 18, 'n': 17, 'q': 9, 'p': 11, 's': 27, 'r': 26, 'u': 25, 't': 8, 'w': 3, 'v': 16, 'y': 28, 'x': 20, 'z': 1}
1.49985267316 {' ': 16, '^': 18, 'a': 26, 'c': 28, 'b': 21, 'e': 13, 'd': 7, 'g': 5, 'f': 11, 'i': 6, 'h': 23, 'k': 27, 'j': 20, 'm': 19, 'l': 25, 'o': 4, 'n': 14, 'q': 15, 'p': 3, 's': 10, 'r': 12, 'u': 17, 't': 22, 'w': 24, 'v': 8, 'y': 2, 'x': 1, 'z': 9}
1.49421431251 {' ': 12, '^': 11, 'a': 8, 'c': 22, 'b': 20, 'e': 17, 'd': 6, 'g': 10, 'f': 14, 'i': 27, 'h': 9, 'k': 7, 'j': 24, 'm': 25, 'l': 3, 'o': 18, 'n': 13, 'q': 28, 'p': 15, 's': 21, 'r': 23, 'u': 4, 't': 19, 'w': 2, 'v': 16, 'y': 26, 'x': 1, 'z': 5}
1.45558856557 {' ': 13, '^': 27, 'a': 22, 'c': 14, 'b': 1, 'e': 23, 'd': 26, 'g': 12, 'f': 4, 'i': 6, 'h': 24, 'k': 10, 'j': 2, 'm': 21, 'l': 7, 'o': 17, 'n': 8, 'q': 28, 'p': 20, 's': 3, 'r': 16, 'u': 25, 't': 15, 'w': 5, 'v': 11, 'y': 9, 'x': 19, 'z': 18}
1.47091240566 {' ': 13, '^': 28, 'a': 17, 'c': 25, 'b': 24, 'e': 16, 'd': 22, 'g': 23, 'f': 7, 'i': 19, 'h': 26, 'k': 1, 'j': 2, 'm': 12, 'l': 4, 'o': 27, 'n': 18, 'q': 11, 'p': 14, 's': 9, 'r': 8, 'u': 15, 't': 3, 'w': 6, 'v': 5, 'y': 20, 'x': 21, 'z': 10}
1.49855536771 {' ': 17, '^': 22, 'a': 15, 'c': 23, 'b': 2, 'e': 13, 'd': 3, 'g': 4, 'f': 27, 'i': 16, 'h': 6, 'k': 12, 'j': 10, 'm': 19, 'l': 24, 'o': 14, 'n': 26, 'q': 5, 'p': 28, 's': 11, 'r': 8, 'u': 25, 't': 7, 'w': 18, 'v': 20, 'y': 9, 'x': 21, 'z': 1}
1.49092446084 {' ': 13, '^': 28, 'a': 14, 'c': 7, 'b': 8, 'e': 12, 'd': 2, 'g': 15, 'f': 11, 'i': 17, 'h': 26, 'k': 6, 'j': 10, 'm': 4, 'l': 22, 'o': 3, 'n': 21, 'q': 5, 'p': 27, 's': 18, 'r': 16, 'u': 9, 't': 25, 'w': 1, 'v': 23, 'y': 24, 'x': 19, 'z': 20}
1.49869442097 {' ': 16, '^': 24, 'a': 25, 'c': 21, 'b': 23, 'e': 13, 'd': 1, 'g': 26, 'f': 18, 'i': 15, 'h': 17, 'k': 2, 'j': 10, 'm': 9, 'l': 22, 'o': 3, 'n': 7, 'q': 20, 'p': 19, 's': 27, 'r': 4, 'u': 6, 't': 12, 'w': 14, 'v': 28, 'y': 11, 'x': 5, 'z': 8}
1.46729747323 {' ': 17, '^': 20, 'a': 16, 'c': 27, 'b': 5, 'e': 23, 'd': 14, 'g': 19, 'f': 7, 'i': 18, 'h': 22, 'k': 2, 'j': 11, 'm': 28, 'l': 6, 'o': 4, 'n': 8, 'q': 15, 'p': 24, 's': 26, 'r': 25, 'u': 12, 't': 13, 'w': 21, 'v': 9, 'y': 3, 'x': 1, 'z': 10}
1.4911258776 {' ': 18, '^': 15, 'a': 17, 'c': 5, 'b': 28, 'e': 14, 'd': 16, 'g': 12, 'f': 1, 'i': 19, 'h': 21, 'k': 11, 'j': 27, 'm': 22, 'l': 4, 'o': 8, 'n': 3, 'q': 25, 'p': 6, 's': 26, 'r': 7, 'u': 23, 't': 13, 'w': 9, 'v': 20, 'y': 10, 'x': 24, 'z': 2}
1.49923760332 {' ': 17, '^': 3, 'a': 16, 'c': 12, 'b': 5, 'e': 13, 'd': 9, 'g': 23, 'f': 8, 'i': 14, 'h': 6, 'k': 20, 'j': 2, 'm': 19, 'l': 26, 'o': 21, 'n': 24, 'q': 18, 'p': 25, 's': 15, 'r': 4, 'u': 7, 't': 22, 'w': 11, 'v': 28, 'y': 10, 'x': 27, 'z': 1}
