2025-01-15T13:15 After I stopped hardcoding the starting positions to f and j
gen     nevals  avg     std     min     max    
0       300     5770.16 677.602 3984.77 7592.67
1       171     4810.4  660.848 3839.72 6974.93
2       200     4221.14 465.473 3748.81 6305.3 
3       167     4047.68 460.533 3741.12 6158.78
4       186     4034.43 570.956 3644.71 6835.2 
5       182     4067.66 643.755 3612.87 6974.31
6       160     3848.61 489.576 3539.79 6437.93
7       165     3815.79 552.36  3517.05 6536.76
8       178     3730.53 457.304 3459.34 5948.56
9       175     3900.82 716.087 3426.25 6736.31
10      182     3788.51 582.482 3426.25 6125.39
11      184     3701.46 558.659 3372.88 6243.6 
12      182     3599.4  495.638 3300.14 5795.17
13      180     3760.78 662.465 3300.14 6307.4 
14      157     3504.25 522.717 3273.59 6325.4 
15      182     3429.49 425.245 3231.78 5833.2 
16      174     3388.9  355.595 3231.78 5640.53
17      178     3434.18 579.231 3224.83 5796.8 
18      172     3377.81 451.66  3176.62 5536.4 
19      195     3592.12 665.269 3145.58 5721.2 
20      166     3485.49 647.498 3145.58 5935.79
21      176     3272.25 429.832 3117.4  5792.09
22      179     3237.4  357.116 3115.59 5879.34
23      172     3240.97 458.868 3115.59 5940.66
24      187     3291.35 461.52  3088.1  5804.66
25      192     3197.23 341.71  3088.1  5906.18
26      182     3150.89 253.358 3088.1  5393.59
27      186     3128.03 143.086 3088.1  4117.38
28      191     3133.07 171.189 3070.56 4365.96
29      177     3197.76 395.974 3070.56 5939.2 
30      186     3176.5  377.168 3060.37 5706.35
31      184     3147.63 326.354 3055.58 5886.58
32      193     3172.39 363.887 3042.59 5693.08
33      187     3150.63 402.248 3042.59 6263.93
34      199     3093.31 170.902 3042.59 4282.8 
35      166     3108.8  287.813 3042.59 5911.19
36      193     3117.63 274.525 3034.93 5130.49
37      181     3122.43 244.637 3034.93 5025.75
38      162     3094.49 208.599 3033.8  5125.24
39      182     3081.24 173.04  3033.8  4937.97
40      168     3075.11 173.479 3022.08 4851.9 
41      169     3110.94 276.3   3018.93 5560.64
42      176     3206.1  530.925 3015.66 5611.56
43      190     3079.94 214.193 3015.66 4783.67
44      166     3107.54 340.888 2996.71 5466.47
45      165     3122.13 395.653 2996.71 5908.21
46      167     3134.88 480.715 2996.71 6024.71
47      177     3063.32 242.348 2996.71 4815.63
48      193     3084.13 265.348 2996.71 5323.5 
49      183     3087.56 316.654 2996.71 5356.95
50      171     3048.08 209.863 2996.71 5048.3 
51      183     3054.37 223.047 2996.71 5044.62
52      184     3057.28 216.173 2996.71 5117.73
53      176     3069.34 234.414 2990.98 4793.62
54      177     3065.53 228.877 2988.61 4595.32
55      190     3210.54 527.539 2988.61 5887.17
56      184     3051.92 225.339 2988.61 4787.2 
57      174     3055.86 229.96  2988.61 5068.21
58      194     3035.11 181.869 2988.61 4777.96
59      164     3043.8  216.323 2988.61 5119.6 
60      187     3068.68 259.511 2988.61 4920.17
61      162     3047.69 191.572 2979.4  4783.68
62      176     3101.17 355.638 2979.4  5123.82
63      176     3057.18 283.68  2955.87 5092.9 
64      184     3056.71 300.35  2955.87 5846.7 
65      188     3019.4  256.113 2955.87 5076.02
66      184     3000.73 146.19  2955.87 4201.17
67      178     3022.67 235.944 2955.87 5671.02
68      179     3020.19 177.162 2955.87 4260.02
69      178     3019.29 249.516 2955.87 5771.74
70      181     3030.36 294.937 2955.87 5105.22
71      182     3016.51 217.133 2955.87 4822.89
72      188     3002.38 161.475 2955.87 4112.93
73      182     3019.06 244.413 2954.22 5069.69
74      180     3072.88 357.001 2954.22 4985.98
75      175     3114.58 450.563 2954.22 5238.87
76      181     3010.62 212.541 2953.5  4763.12
77      175     3031.72 251.205 2953.5  4955.06
78      165     3025.38 219.602 2953.5  5207.41
79      181     3018.66 215.16  2953.5  4783.73
80      165     2992.96 175.549 2953.5  4815.6 
81      170     3003.53 182.263 2953.5  4415.84
82      180     3041.46 289.006 2953.5  5257.91
83      205     3021.95 260.157 2953.5  5584.4 
84      190     3009.05 199.714 2932.07 5201.06
85      189     3120.07 474.078 2932.07 5500.14
86      181     3100.05 502.471 2932.07 5822.9 
87      184     2994.19 233.519 2932.07 5017.3 
88      166     3002.27 272.507 2932.07 4835.75
89      206     3006    254.564 2932.07 4897.78
90      173     2988.7  261.619 2932.07 5174.78
91      187     2989.32 200.57  2932.07 4627.52
92      184     2992.12 248.878 2932.07 5518.64
93      187     2994.93 224.908 2932.07 5357.53
94      173     2994.02 218.453 2932.07 4634.31
95      185     2997.31 223.534 2932.07 5022.26
96      174     3001.99 248.363 2932.07 5161.68
97      191     3003.63 255.485 2932.07 5376.51
98      186     2984.29 164.647 2932.07 4576.5 
99      188     2981.82 197.247 2932.07 4679.49
100     180     2984.8  194.684 2932.07 4762.3 
Best individual: pdawjkbrmzuohytlescxgfv ^niq with fitness: (2932.0683882878884,)

2025-01-15T12:15
gen     nevals  avg     std     min     max    
0       300     5781.66 617.861 4263.78 7734.34
1       155     4835.08 522.446 4050.94 6762.56
2       166     4464.67 496.974 3942.87 6960.01
3       182     4399.22 616.081 3907.66 7024.54
4       168     4325.77 575.83  3864.04 6895.51
5       179     4149.39 482.239 3784.51 6582.38
6       175     4154.07 573.254 3709.68 6608.32
7       182     4094.07 576.35  3601.59 6386.94
8       171     3923.41 428.303 3601.59 5587.36
9       177     3769.62 410.156 3558.24 5657.1 
10      187     3793.12 466.817 3493.25 5647.93
11      173     3757.85 471.405 3492.99 5696.79
12      154     3567.97 281.56  3395.47 5863.6 
13      182     3707.61 532.188 3353.23 5961.02
14      190     3581.54 529.179 3311.89 6056.28
15      164     3527.34 496.671 3269.5  6222.59
16      190     3511.96 500.382 3265.49 5969.65
17      163     3452.34 512.719 3245.46 6004.15
18      170     3523.05 607.223 3232.35 6431.61
19      185     3447.43 500.791 3224.31 5985.84
20      172     3311.49 267.412 3218.76 5083.31
21      179     3334.89 418.579 3210.72 6557.05
22      173     3296.95 274.235 3205.15 5329.77
23      184     3337.24 402.241 3186.59 5832.81
24      186     3458.03 648.142 3184.48 6760.88
25      179     3300.37 403.056 3168.15 5870.55
26      182     3334.35 482.483 3157.7  6084.2 
27      182     3255.24 309.023 3157.7  6024.11
28      192     3289.87 451.211 3157.7  6456.36
29      185     3227.45 308.636 3157.7  6255.62
30      187     3203.96 183.332 3155.28 5187.7 
31      183     3277.74 419.862 3155.28 5625.82
32      185     3298.94 423.622 3116.14 6150.99
33      184     3281.59 401.015 3116.14 5666.55
34      174     3284.52 514.05  3116.14 6445.8 
35      178     3170.56 238.209 3116.14 5453.69
36      178     3202.74 292.745 3116.14 5845.63
37      173     3160.67 191.986 3096.23 4949.86
38      188     3209.19 333.254 3096.23 5591.18
39      182     3241.91 473.334 3096.23 5912.81
40      168     3162.27 253.307 3096.23 5082.3 
41      165     3180.34 312.341 3096.23 5378.33
42      178     3145.79 203.202 3084.92 4931.3 
43      185     3204.86 379.76  3059.03 5687.59
44      183     3204.93 401.435 3059.03 5792.83
45      187     3156.14 326.438 3047.72 5594.18
46      167     3208.61 470.889 3047.72 6309.4 
47      174     3132.85 349.455 3047.72 5786.16
48      159     3102.97 213.784 3047.72 4956.39
49      178     3098.08 205.096 3047.72 5334.14
50      187     3104.97 233.431 3047.72 5462.39
51      172     3138.63 306.688 3047.72 5777.97
52      181     3105.49 229.616 3047.72 5338.21
53      165     3124.67 292.937 3047.72 5108.25
54      164     3106.5  225.45  3047.72 4956.39
55      194     3108.82 231.239 3047.72 5319.79
56      183     3095.34 198.171 3047.72 4771.64
57      177     3119.56 252.819 3047.72 5101.58
58      188     3130.79 289.455 3047.72 5228.67
59      184     3124.82 259.508 3047.72 5668.29
60      168     3096.46 174.123 3042.97 4510.23
61      177     3120.17 247.605 3042.97 4960.65
62      184     3175.03 451.198 3042.97 6031.47
63      178     3105.17 254.303 3042.97 5855.73
64      184     3132.72 318.602 3040.98 6486.86
65      178     3190.7  431.487 3040.98 5634.85
66      164     3105.58 276.139 3040.98 5326.22
67      185     3073.7  135.803 3040.98 4538.58
68      180     3113.09 252.467 3040.59 5250.56
69      159     3136.39 290.785 3040.59 4892.78
70      161     3168.28 366.394 3040.59 5530.02
71      169     3076.49 132.694 3040.59 4191.32
72      187     3120.04 265.781 3040.59 5220.76
73      175     3111.1  248.655 3040.59 5223.54
74      173     3098.45 228.272 3040.59 4966.77
75      191     3113.64 256.99  3040.59 5103.78
76      175     3110.46 263.753 3040.59 5653.98
77      167     3088.23 172.237 3040.59 5103.45
78      189     3122.18 307.099 3040.59 5688.99
79      157     3097.47 235.551 3040.59 5458.22
80      184     3100.97 221.762 3040.59 4635.64
81      187     3095.22 197.322 3040.59 4635.64
82      191     3116.86 261.18  3040.59 5075.05
83      171     3110.95 244.927 3040.59 5104.47
84      191     3091.41 185.475 3040.59 4536.1 
85      163     3084.49 154.137 3040.59 4026.47
86      167     3096.33 213.807 3040.59 5021.34
87      192     3100.87 198.219 3040.59 4268.34
88      189     3132.95 266.23  3040.59 5315.29
89      175     3106.6  223.407 3040.59 4908.6 
90      186     3095.58 177.535 3040.59 4318.09
91      185     3122.53 286.553 3040.59 5265.21
92      172     3121.76 323.406 3040.59 5223.54
93      179     3109.15 238.188 3040.59 5223.54
94      177     3087.15 189.028 3027.12 4873.16
95      159     3104.9  240.147 3027.12 4932.12
96      192     3149.35 403.083 3027.12 5843.74
97      175     3108.76 285.996 3027.12 5333.6 
98      175     3091.56 289.555 3027.12 5811.02
99      193     3108.61 297.613 3027.12 5734.79
100     181     3091.81 261.695 3027.12 5231.5 
Best individual: vhsymwa^jzrtnp oigxfldkecubq with fitness: (3027.120556216296,)
